tool_id,name,url,organisations,partners,developers,donors,typologies,keywords,descriptions,countries,spatial_scale,frequncies,users,contacts
247,The Global Value Toolkit,https://www.global-value.eu/toolkit/,"Institute for Managing Sustainability, Vienna University of Economics & Business",,,European Union FP7,Data portal,,"The GLOBAL VALUE toolkit provides knowledge, tools and resources for companies and other societal actors wishing to tackle the Sustainable Development Goals (SDGs) together with business. in this space with the newest resources, events and innovations on how companies can better measure and manage their contribution to the achievement of the SDGs.",,Global,,,
248,True Impact,http://www.trueimpact.com/about-corporate-social-responsibility-company,,,,,Other - initiative/organisation,Finance,"True Impact is a web-based measurement and reporting tool for charitable investments. Corporations, foundations, and government agencies use True Impact to measure the social impact of their grants, volunteerism, and other philanthropic investments, to demonstrate success and identify opportunities for improvement.",,Global,,,
249,Carbon Trust,https://www.carbontrust.com/about-us/,Carbon Trust,,,,Other - initiative/organisation,Sustainable business,"The Carbon Trust is a partner of organisations around the world, helping them contribute to and benefit from a more sustainable future through carbon reduction, resource efficiency strategies and commercialising low carbon technologies.",,Global,,,
250,Global Impact Investing Network (GIIN),https://thegiin.org/about/,,,,,Other - initiative/organisation,Finance,"The Global Impact Investing Network is the global champion of impact investing, dedicated to increasing its scale and effectiveness around the world. Impact investments are investments made with the intention to generate positive, measurable social and environmental impact alongside a financial return.",,Global,,,
251,Cool Farm Alliance (CFA),https://coolfarmtool.org/coolfarmtool/,,,,,Decision-support tool,Sustainable business; Agriculture,Industry platform for sustainable agriculture metric development and use,,,,,
252,Sustainable Food Lab,https://sustainablefoodlab.org/initiatives/#!/measurement-tools-and-frameworks,,,,,Data portal,Agriculture,The Sustainable Food Lab was launched in 2004 as a non-profit organization to create a sustainable food system by helping organizations turn ideas into action.,,Global,,,
253,Global Coffee Platform,https://www.globalcoffeeplatform.org/tools/gcp-progress#about,,,,,Data portal,Sustainable business; Coffee,"GCP focuses its entire attention on enabling all its members (producers, international roasters, governments, traders, donors, and NGOs) to align and multiply their efforts and investments, collectively act on local priorities and critical issues, and scale successful sustainability initiatives across the sector.","Brazil, Indonesia, Tanzania",Global,,,
254,The National Biodiversity Network (NBN),https://nbn.org.uk/about-us/who-we-are/,,,,,Data portal,,"The National Biodiversity Network (NBN) is a collaborative partnership created to exchange biodiversity information. The NBN Trust, the charity which oversees and facilitates the development of the Network, is a membership organisation built on these partnership principles.",,,,,
255,Global Biodiversity Model (GLOBIO model),https://www.globio.info/,"PBL, UNEP GRID-Arendal and UNEP-WCMC.",,,,Flexible analysis platform,Earth observation,"The GLOBIO model calculates the impact of environmental drivers on biodiversity in the past, present and future. The various anthropogenic pressures are: infrastructure, hunting, nitrogen deposition, habitat fragmentation, land-use and climate change. Biodiversity is represented by the MSA indicator, which indicates the level of ‘intactness’ or ‘naturalness’ of species communities in ecosystems.",,Global,,,
256,ReCiPe,https://www.rivm.nl/en/life-cycle-assessment-lca/recipe,"Radboud University in Nijmegen, RIVM, NTNU Trondheim and PRé",,,,Flexible analysis platform,Sustainable business,ReCiPe was primarily developed as a Life Cycle Impact Assessment (LCIA) methodology. The essential feature of ReCiPe is that it provides a long list of characterisation factors that express the relative contribution between an inventory result and an impact category. The inventory result is multiplied with such a characterisation factor. ReCiPe makes this calculation in two steps: there are characterisation factors that convert inventory results in midpoint indicators and there are factors that convert midpoint indicators into endpoints.,,Regional,,,
287,Co$ting Nature,http://www.policysupport.org/costingnature,"King's College London, AmbioTEK, UNEP-WCMC",,,,Flexible analysis platform,Natural capital / ecosystem services,"Co$ting Nature is a web based tool for natural capital accounting and analysing the ecosystem services provided by natural environments, identifying the beneficiaries of these services and assessing the impacts of human interventions. It is a testbed for the development and implementation of conservation strategies focused on sustaining and improving ecosystem services. It also focused on enabling the intended and unintended consequences of development actions on ecosystem service provision to be tested in silico before they are tested in vivo .",,Global,,Governments; Industry; NGOs; Science and Research,mark.mulligan@kcl.ac.uk
259,Ecopath with Ecosim (EwE),https://ecopath.org/,Ecopath International Initiative,,,,Flexible analysis platform,Ocean,"EwE is a free ecological/ecosystem modelling software suite. EwE has three main components: Ecopath – a static, mass-balanced snapshot of the system; Ecosim – a time dynamic simulation module for policy exploration; and Ecospace – a spatial and temporal dynamic module primarily designed for exploring impact and placement of protected areas.",,Global,,,
261,Projecting Responses of Ecological Diversity In Changing Terrestrial Systems (PREDICTS),https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.2579,"Natural History Museum, UNEP-WCMC.",,,,Flexible analysis platform,Earth observation,"PREDICTS will model how biodiversity responds to different anthropogenic pressures as a function not only of the intensity of environmental pressure, but also of species' ecological attributes. This will enable a more in-depth understanding of biodiversity loss, and allow more accurate projections that can inform conservation policy.",,"Depends on data available: Site, Regional, National.",,,
262,Spatially Explicit Information on Production to Consumption Systems (SEI-PCS),https://www.sei.org/wp-content/uploads/2019/03/sei-2019-p2cs-summary-sei-pcs.pdf,Stockholm Environment Institute,,,,Model,,"SEI-PCS (for Spatially Explicit Information on Production to Consumption Systems) is a modelling approach developed at SEI.1 SEI-PCS allows for fine-scale subnational assessments of the origin of traded commodities and the socio-environmental impacts embedded in them, such as carbon emissions, local pollution or biodiversity loss. It recreates supply chains and attributes sustainability impacts to commodity flows and actors, using a combination of detailed production data at subnational scales, information on domestic trade flows, customs data and international trade flows between countries.",,Global,,,
