tool_id,name,url,organisations,partners,developers,donors,typologies,keywords,descriptions,countries,spatial_scale,frequncies,users,contacts
1 TTI,ECOWAS ,https://www.eco-icbt.org/trade-data/,"Agricultural Market and Trade Department of the Permanent Interstate Committee for Drought Control in the Sahel (CILSS)
West African Association for Cross-Border Trade, in Agro-forestry-pastoral and Fisheries Products (WACTAF) ",Data portal,Corn/ Maize; Mango; Beef; Palm oil; Poultry; Sugar; Multiple,"AGRICTRADE will contribute to improving trade in agricultural, food and livestock production in Sahel and West Africa through provision of tools and market information necessary for promotion of trade in agricultural, food and livestock products in Sahel and West Africa and dissemination of information on instruments of regional trade policies and trade opportunities relating to the products, agricultural inputs and livestock. The expected outputs include: Disseminated information on markets cross-border trade flow and barriers to trade, increased networking and capacity of private and public market players, information about regional polices, instruments and tools on trade that will result in increased commercial transactions on staple foods and livestock in the Sahel and West Africa region.",West Africa,International,,,ssacko@ecowas.int
2 TTI,Agri-food Data Portal,agridata.ec.europa.eu ,European Commission,Data portal,Agriculture; Beef; Pork; Corn/ Maize;  Poultry; Sugar; Soybean; Multiple,"Data on national and European agriculture and common agricultural policy (CAP), provided by the European Commission's agricultural and rural development department",Europe,International,Monthly; Weekly ,,agri-ext-helpdesk@ec.europa.eu
3 TTI,AHDB Cereals and Oilseed Dashboard,https://ahdb.org.uk/cereals-oilseeds-markets,Agricultural and Horticultural Development Board (AHDB),Visualisation / dashboard,Soybean; Corn/ Maize; Palm oil; Multiple,"Trade in cereals and oilseeds are having a greater influence on domestic markets and prices. As we enter new trading relationships with EU and non-EU countries, monitoring this trade will be a key indicator of future trends in price.",United Kingdom,International,Daily,Industry,
6 TTI,Beef Market Central,https://beefmarketcentral.com/,Merck Animal Health,Statistics; Digital reports; Data portal,Beef; Soybean,Market information. App available.,Global,Global,Daily,Financial institutions,
7 TTI,Beef and Lamb New Zealand,beeflambnz.com ,Beef + Lamb New Zealand Inc,Statistics,Beef; Other; Multiple,"Provide accurate, independent information to help farmers, meat processors, consultants and other organisations with their planning. You’ll find data and tools you can use to make farming business decisions – from export statistics to economic reports to interactive tools.",New Zealand,International,Bi-annually,Industry,enquiries@beeflambnz.com
9 TTI,Malaysian Palm Oil Board,bepi.mpob.gov.my ,,Statistics,Palm oil,"Economics and Industry Development Division [EID] is responsible for disseminating information on the performance of the Malaysian oil palm industry and undertaking economic research and statistical analysis on production, marketing and new technologies in the oil palm industry.",Malaysia,International,                                                      ,Not specified,
11 TTI,"Shanghai NCB Consultation Co., Ltd ",https://www.ncbdata.com/import-export-database/,Shanghai NCB Consultation Co,Database,,"Find suppliers and potential target customers through Global Trading Data. The database integrates over 8,000,000 entries every month from 33 countries importing and exporting globally. Information covers the buyer's shipping data, including purchase price, purchase volume, cycle, supply chain and other detailed records.",China,Global,Monthly,Not specified,
12 TTI,Cameroon Data Portal,cameroon.opendataforafrica.org ,The African Development Bank,Data portal; Visualisation / dashboard; Statistics,Agriculture; Multiple,Provides statistics on Cameroon's annual export and import quantities,Cameroon,International,Not specified,Not specified,statistics@afdb.org
13 TTI,Central African Republic Data Portal,car.opendataforafrica.org ,The African Development Bank,Data portal; Visualisation / dashboard; Statistics,Agriculture; Multiple ,Provides export and import statistics on Central African Republic,Central African Republic,             ,Not specified,Not specified,statistics@afdb.org.
14 TTI,New Zealand Government,catalogue.data.govt.nz ,New Zealand Government,Data portal,Beef; Soybean; Multiple,"Open data; empowering decision making, and problem-solving for citizens and businesses. Users can search for and download thousands of freely usable datasets released by New Zealand Government organisations, as well as finding out about how to use, release open data effectively. Public sector agencies including (but not limited to) Central Government, Local Government, Crown Research Institutes and the Tertiary sector are able to adopt the free data.govt.nz catalogue service to release their open data for wide discoverability. Agencies may also reference their APIs, open source code and reports relating to the data they release on the service.",New Zealand,Global,,Not specified,info@data.govt.nz
15 TTI,African Growth and Opportunity Act ,https://agoa.info/data.html,Trade Law Center (tralac),Data portal; Statistics; Digital reports; Initiative/organisation; Decision-support tool,Cocoa; Sugar; Agriculture; Multiple,"The AGOA.info Data Center houses key trade data relating to AGOA, and United States – Sub-Saharan Africa trade more generally. The trade data is updated periodically (usually on a monthly basis, when new data is released). ",Sub-Saharan African; United States,International,Monthly,Industry,
16 TTI,Trading Economics,https://tradingeconomics.com/analytics/features.aspx?source=footer,Trading Economics,Data portal; Visualisation / dashboard,Corn/ Maize; Sugar; Soybean; Cotton; Cocoa; Palm oil; Beef; Coffee; Poultry; Rubber; Multiple,"Information for 196 countries including historical data and forecasts for more than 20 million economic indicators, exchange rates, stock market indexes, government bond yields and commodity prices. Data is based on official sources, not third party data providers, and regularly fact checked for inconsistencies. ",Global,Global,Daily,Financial institutions,
17 TTI,AHDB Beef Trade Dashboard,https://ahdb.org.uk/beef/beef-markets,"Agriculture and Horticulture Development Board,",Digital reports; Decision-support tool,Beef,"This dashboard shows the volume and value of beef, veal and offal that the UK and EU has imported and exported. It gives an indication of recent activity as well as the potential impacts on the domestic market. A selection of this data is available for download.",Europe; United Kingdom,International,                             ,Industry,info@ahdb.org.uk
18 TTI,AHDB Sheep Trade Dashboard,https://ahdb.org.uk/lamb/sheep-meat-trade,"Agriculture and Horticulture Development Board,",Data portal,Other,This dashboard shows the volume and value of sheep meat and offal that the UK and EU has imported and exported. It gives an indication of recent activity as well as the potential impacts on the domestic market. A selection of this data is available for download.,Europe; United Kingdom,International,Monthly,Industry,econ@ahdb.org.uk
19 TTI,USDA Global Agricultural Trade System,https://apps.fas.usda.gov/GATS/default.aspx,USDA Foreign Agricultural Service,Statistics,Multiple,"GATS is the USDA Foreign Agricultural Service's Global Agricultural Trade System. It includes international agricultural, fish, forest and textile products trade statistics dating from the inception of the Harmonized coding system in 1989 to present",United States of America,Global,Monthly,,GATSHelp@fas.usda.gov
20 TTI,Comex Stat,http://comexstat.mdic.gov.br/en/home,Special Sec. of Foreign Trade and International Affairs,Data portal,Multiple,The Comex Stat is a system for searching and extracting data from Brazilian foreign trade. Detailed data on Brazilian exports and imports are extracted monthly from SISCOMEX and based on the declaration of exporters and importers. The raw database is also available for download.,Brazil,Regional,Monthly,Not specified,
21 TTI,COMSTAT Data Hub,comstat.comesa.int ,COMESA,Statistics; Visualisation / dashboard; Data portal,Agriculture,"The COMESA Treaty provides the policy context for the development of statistics in the COMESA region. The treaty envisages a four-pronged strategy for the development of statistics namely: A Common Market Information System - This was to be established for purposes of reviewing the functioning and development of the Common Market. Issues to be handled included data flows to the Secretariat, improvement of data collection by Member States, analysis of statistical information and timely dissemination. Cooperation in Statistical Development - This recognizes the importance of harmonized statistics at the regional and international level, exchange of skills among Member States, cooperation in methodological issues, data dissemination policies and the adoption of the Addis Ababa Plan of Action for Statistical Development in Africa. 
Comprehensive Information System - This was to look at the development of a trade information network that reduces information asymmetries on trade opportunities in the region.  
Depository Library - In addition to documents and printed material, databases are envisaged as important for the development of the Comprehensive Information System. ",Africa,Global,Regularly,Not specified,statistics@comesa.int
23 TTI,EU Open Data Portal,https://data.europa.eu/data/datasets?categories=agri&page=1&locale=en,European Union,Data portal,Multiple; Agriculture,The European Union Open Data Portal (EU ODP) gives access to open data published by EU institutions and bodies. All the data found via this catalogue are free to use and reuse for commercial or non-commercial purposes.,Europe,International,Regularly,Not specified,
24 TTI,National centre for statistics and information,data.gov.om ,National Centre For Statistics & Information Sultanate of Oman,Data portal,Agriculture; Beef; Poultry; Corn/ Maize; Cotton; Palm oil; Multiple,"Data Portal is a free and data-sharing portal where anyone can access data relating to the Sultanate of Oman. The Data Portal provides many datasets from different entities, for everyone - citizen, investor, researcher or developer.",Oman,International,Monthly; Annually,Not specified,
25 TTI,data.gov.uk ,data.gov.uk ,UK Government,Data source,Multiple,"Data published by central government, local authorities and public bodies. Since 2010 data.gov.uk has been helping people to find and use open government data, and supporting government publishers to maintain data. In March 2018, the Find Open Data service was launched. What’s on Find Open Data: data published by central government, local authorities and public bodies; links to download data files; help on creating an account to publish data",United Kingdom,Global ,Regularly,Not specified,
27 TTI,International Montetary Fund,data.imf.org ,International Monetary Fund ,Data portal; Statistics,Coffee; Cocoa; Corn/ Maize; Beef; Poultry; Multiple,"The IMF publishes a range of time series data on IMF lending, exchange rates and other economic and financial indicators. Manuals, guides, and other material on statistical practices at the IMF, in member countries, and of the statistical community at large are also available.",Global,Global,Weekly; Monthly,Not specified,publicaffairs@imf.org
29 TTI,Intercontinental Exchange,https://www.theice.com/index,Intercontinental Exchange,Data services,Coffee; Cocoa; Cotton; Sugar; Multiple,"Operating regulated marketplaces, including the New York Stock Exchange, for the listing, trading and clearing of a broad array of derivatives contracts and financial securities across major asset classes. Data services offering supports the trading, investment, risk management and connectivity needs of customers around the world and across asset classes. ICE Mortgage Technology provides the technology and infrastructure to transform and digitize U.S. residential mortgages, from application and loan origination through to final settlement.",Global,Global,Daily,Financial institutions,
32 TTI,World Bank Open Data,data.worldbank.org ,World Bank Group,Data portal,Agriculture,"Free and open access to global development data. At the World Bank, the Development Data Group coordinates statistical and data work and maintains a number of macro, financial and sector databases. Much of the data comes from the statistical systems of member countries.",Global,Global,Regularly,Not specified,Tel : (202) 473-1000
33 TTI,World Trade Organisation Data,data.wto.org,World Trade Organisation,Data portal,Agriculture; Cotton,"The compilation of international merchandise trade statistics relies principally on customs records complemented, as appropriate, by additional sources to enhance their coverage (for instance, to
include electricity, or trade in vessels and aircrafts). These statistics essentially reflect the physical movement of goods across borders.",Global,Global ,Regularly,,data@wto.org
34 TTI,UNCTAD - Trade Analysis Information System (TRAINS),https://databank.worldbank.org/source/unctad-%5E-trade-analysis-information-system-(trains),World Bank Group,Database,Multiple,"Statistics and indicators used in the analysis of international trade, investment and development. UNCTAD compiles, validates and processes a wide range of data collected from national and international sources. Most time-series data cover extended periods of time, with some dating back to 1948, for almost all the economies of the world.
UNCTAD produces more than 150 indicators and statistical time series essential for the analysis of international trade, economic trends, foreign direct investment, external financial resources, population and labour force, commodities, the information economy and maritime transport.",Global,Global ,Not updated,Not specified,Tel : (202) 473-1000
35 TTI,United States International Trade Commission,dataweb.usitc.gov,United States International Trade Commission,Data portal,,"USITC DataWeb provides U.S. merchandise trade and tariff data in a user friendly web interface. Trade data for 1989 to the present are available on a monthly, quarterly, annual, or year-to-date basis and can be retrieved using a sophisticated querying tool with features such as user defined country and commodity groups. This tool allows the data to be shown in terms of a number of classification systems, including the Harmonized Tariff Schedule (HTS), the Standard International Trade Classification (SITC), or the North American Industry Classification System (NAICS). U.S. tariff data that are maintained and published by the USITC as a statutory responsibility, can also be retrieved using Dataweb. These data include past, current and future normal and preferential U.S. tariff rates accessible using sophisticated look-up tools. Tools are also available to view the correlations between the classification systems and product descriptions for the codes used in these systems. Trade data reports prepared by the USITC are also available showing U.S. trade with Sub-Saharan Africa partners, U.S. total imports and related duty data for 1891-present year, and a U.S. import monitoring tool.",United States of America,International,Not updated,Not specified,
37 TTI,Directorate General of Commercial Intelligence and Statistics,dgciskol.gov.in,Government of India - Ministry of Commerce and Industry,Data portal,Multiple,"The DGCI&S compiles and releases monthly export & import data on merchandise trade. It also compiles and releases yearly data on inter-state movement of goods in India by river, rail & air; customs & excise revenue collections of the Indian union, inland coasting trade consignments of India and foreign coastal cargo movements of India.",India,International,Regularly,Not specified,Phone: +91.33.24434055
38 TTI,Democratic Republic of the Congo Data Portal,drcongo.opendataforafrica.org ,The African Development Bank,Data portal,Agriculture,Provides trade statistics on Democratic Republic of Congo,Democratic Republic of Congo,International,Not updated ,Not specified,statistics@afdb.org
39 TTI,China Data Online / Direction of Trade Statistics,https://economics.uwo.ca/china_group/data_statistics.html,Western Social Science Department of Economics,Statistics; Visualisation / dashboard; Repository; Library/catalogue,Multiple ,"China Data Online gives researchers access to information on China’s economic development. It provides statistics at national, provincial and local levels, industrial and census data, themed atlases and maps. The IMF’s Direction of Trade Statistics (DOTS) contains time series of annual, quarterly, and monthly trade data for most IMF member countries. They include the value of merchandise exports and imports for each country and all its trading partners, as well as area and world aggregates showing trade flows between major regions of the world.",China,International,Not specified,Not specified,economics@uwo.ca
40 TTI,General Administration of Customs People's Republic of China,http://english.customs.gov.cn/statics/report/preliminary.html,General Administration of Customs People's Republic of China (GACC),Statistics,Multiple,"The GACC, the headquarters of China Customs, is a key border agency for the nation. Following the government restructuring in 2018, China Customs responsibilities throughout the country include traditional customs, as well as border health checks, inspection and quarantine for imported and exported animals, plants, and their products, imported and exported food safety, and commodity inspection. The GACC provides country import and export statistics. ",China,National,Annually,Not specified,
