name,url,Organisations,Country
AGRICTRADE,https://agrictrade.net/trade-data/,Agricultural Market and Trade Department of the Permanent Interstate Committee for Drought Control in the Sahel (CILSS),
Agri Food Data Portal,agridata.ec.europa.euÂ ,European Union,EU
AHDB Cereals and oilseed dashboard,https://ahdb.org.uk/cereals-and-oilseeds/trade-dashboard,Agricultural and Horticulatural Develpoment Board (AHDB),UK
Beef Market Central,https://beefmarketcentral.com/fccp-app-download-landing-page-18586,Merck Animal Health,
Beef and Lamb New Zealand,beeflambnz.comÂ ,,
Malaysian Palm Oil Board,bepi.mpob.gov.myÂ ,,
InTrade Bid,https://www.intradebid.org/visualizaciones,,
"Shanghai NCB Consultation Co., Ltd ",https://www.ncbdata.com/import-export-database/,Shanghai NCB Consultation Co,
Cameroon data portal,cameroon.opendataforafrica.orgÂ ,The African Development Bank,Cameroon
Central African Republic data portal,car.opendataforafrica.orgÂ ,The African Development Bank,Central African Republic
New Zealand government,catalogue.data.govt.nzÂ ,New Zealand Government,New Zealand
"African Growth and Opportunity Act ",https://agoa.info/data.html,,
Trading economics,https://tradingeconomics.com/analytics/features.aspx?source=footer,,
Beef trade Dashboard AHDB,https://ahdb.org.uk/trade/tools,,UK/EU
Sheep trade Dashboard AHDB,https://ahdb.org.uk/lamb/sheep-meat-trade,,UK/EU
Global Agricultural Information Network,https://apps.fas.usda.gov/GATS/default.aspx,,
Comex stat,http://comexstat.mdic.gov.br/en/home,,Brazil
Com stat,comstat.comesa.intÂ ,,
EU Open Data Portal,data.europa.euÂ ,European Union,European Union
National centre for statistics and information,data.gov.omÂ ,National Centre For Statistics & Information Sultanate of Oman,Oman
data.gov.ukÂ ,data.gov.ukÂ ,UK Govt,
Direction of Trade statistics,data.imf.orgÂ ,IMF,
Intercontinental exchange,https://www.theice.com/index,Intercontinental Exchange,
data.worldÂ ,data.worldÂ ,,
World Bank databank and World bank opendata,data.worldbank.orgÂ ,World Bank,
WTO Data Portal,data.wto.org,World Trade Organisation,
TRAINS,https://databank.worldbank.org/reports.aspx?source=UNCTAD-~-Trade-Analysis-Information-System-%28TRAINS%29,,
United States International Trade Commission,dataweb.usitc.gov,,USA
I.Stat,dati.istat.itÂ ,,
Directorate General of Commercial Intelligence and Statistics,dgciskol.gov.in,,India
Democratic Republic of the Congo data portal,drcongo.opendataforafrica.orgÂ ,The African Development Bank,Democratic Republic of Congo
China Data Online / Direction of Trade Statistics,https://economics.uwo.ca/china_group/data_statistics.html,Western Social Science Department of Economics,
General Administration of Customs People's Republic of China,http://english.customs.gov.cn/statics/report/preliminary.html,General Administration of Customs People's Republic of China,China
Export Potential Map,exportpotential.intracen.orgÂ ,,
Figure.nz,figure.nzÂ ,Figure's 20,New Zealand
FRED (Federal Reserve Economic Data),fred.stlouisfed.orgÂ ,Federal Reserve of St Louis,
Digital look,"finance.digitallook.com ",,
Fur Commission USA,https://furcommission.com/fur-industry-statistics/,Fur Commission USA,USA
Trading Charts,"futures.tradingcharts.com ",Intercontinental Exchange,
Gabon Data Portal,gabon.opendataforafrica.orgÂ ,African Development Bank,Gabon
United Nations Conference on Trade and Development,https://unctad.org/statistics,,
Global Edge,globaledge.msu.eduÂ ,,
Trade Visualisation System,https://globaletrade.services/products/trade-visualization-system-tvs,GeTS Asia Pte Ltd,Global
Gro Intelligence,https://gro-intelligence.com/data,Gro Intelligence,Agriculture
Library of Congress,https://guides.loc.gov/sugar-cane-industry/print-international,,
High Commission of India in Tanzania,hcindiatz.gov.inÂ ,High Commission of India in Tanzania,India; Tanzania
Hong Kong Data Centre,hong-kong-economy-research.hktdc.comÂ ,Hong Kong Trade Development Council,
"Multi-Criteria Analysis Shell for Spatial Decision Support (MCAS-S) ",http://mcas.ternlandscapes.net.au/mcas-s/," Australian Bureau of Agricultural and Resource Economics and Sciences",Australia
CybexExim Solutions,http://www.cybex.in/,,India
"FAOStat ",http://www.fao.org/faostat/en/#data,FAO,
OECD data,https://data.oecd.org/,,
Eurostat,https://ec.europa.eu/eurostat,European Union,Europe
Statistics explained,https://ec.europa.eu/eurostat/statistics-explained/index.php/Main_Page,,
Crop market observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/crops_en,European Commission,
EU Meat Market Observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/meat_en,,
Sugar market observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/sugar_en,,
EU statistics on trade,https://ec.europa.eu/trade/policy/countries-and-regions/,,
EC Statistics,https://ec.europa.eu/trade/policy/countries-and-regions/statistics/regions/index_en.htm,,
Panjiva,https://es.panjiva.com/,,
Market access database,https://madb.europa.eu/madb/statistical_form.htm,European Commission,Europe; global
Trade Data Online (Government of Canada),https://strategis.ic.gc.ca/eic/site/tdo-dcd.nsf/eng/Home,Government of Canada,Canada; USA; global
Trade Data Monitor,https://tradedatamonitor.com/?gclid=CjwKCAjwydP5BRBREiwA-qrCGvKD_bLXXsRglz7jQGsrVaN_eVsZMrWpniqp_oBTtcj-vEkGNdpqwBoCTswQAvD_BwE,Trade Data Monitor Inc.,
UNCTAD,https://unctad.org/en/Pages/statistics.aspx,UNCTAD,
World Integrated Trade Solution,https://wits.worldbank.org/,,
COTTON PORTAL,https://www.cottonportal.org/cotton,,
Ireland National Statistics Office,https://www.cso.ie/en/statistics/externaltrade/,Central Statistics Office,Ireland; Global
Australian Government Department of Foreign Affairs and Trade,https://www.dfat.gov.au/trade/resources/Pages/trade-and-investment-data-information-and-publications,Department of Foreign Affairs and Trade Australian Government,
Moody's analytics Economics.com,https://www.economy.com,Moody's Corporation,
Forest Products Trade Flow database,https://www.efi.int/knowledge/databases/fptf,European Forest Institute,
USDA Economic research unit,https://www.ers.usda.gov/data-products/,Economic Research Service United States Department of Agriculture,
Export Genius,https://www.exportgenius.in/search-live-data.php,,
USDA Foreign Agricultural service,https://www.fas.usda.gov/data,United States Department of Agriculture Foreign Agricultural Service,United States; Global
