Unique ID,Name,URL,Organisations,,,,Typology,Keywords / theme,Platform/Portal/Real time analysis/Tool,Description,"Primary role (data provision (access and viz), decision support, custom analytics, action maps) etc",,,,Data sources,"Level of data access (visualisation only, lin to underlying data, direct download)","Technology (open source, licenced, api, web services ertc)",,,Country,Spatial scale,Commodity data,Update frequency,Intended users,Training required for use? (capacity building),,Availability,,,,,,,,,,,,,,,,Unique ID check,
,,,Lead organisation,Partners,Developer,Donor,,,,,Data Provision,Decision Support (asset maps),Custom analytics,Decision Support Prioritization (action maps),,,Software licence,Infrastructure,Inter-operability,,,,,,,Terms of use,Visualization only--no access,Link to underlying data,Direct download,Frequency of update,Transparency,Source,Contact,Mission,Ultimate source,Strengths,Limitations,User friendliness,"Type of Model (Biodiversity, Ecosystem services or Social)",Data type (e.g modelled),Biodiversity focus,Overlap(s) with ENCORE,,Notes
1 TTI,AGRICTRADE,https://agrictrade.net/trade-data/,Agricultural Market and Trade Department of the Permanent Interstate Committee for Drought Control in the Sahel (CILSS),,,,Data portal,Trade,," AGRICTRADE will contribute to improving trade in agricultural, food and livestock production in Sahel and West Africa through provision of tools and market information necessary for promotion of trade in agricultural, food and livestock products in Sahel and West Africa and dissemination of information on instruments of regional trade policies and trade opportunities relating to the products, agricultural inputs and livestock. The expected output(s) (IRs) Disseminated information on markets cross-border trade flow and barriers to trade, increased networking and capacity of private and public market players, information about regional polices, instruments and tools on trade that will result in increased commercial transactions on staple foods and livestock in the Sahel and West Africa region.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,1 TTI,
2 TTI,Agri Food Data Portal,agridata.ec.europa.eu ,European Union,,,,Data portal,Trade,,"Data on national and European agriculture and common agricultural policy (CAP), provided by the European Commission's agricultural and rural development department",,,,,,,,,,EU,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data beef,,,,,,,,,,,2 TTI,
3 TTI,AHDB Cereals and oilseed dashboard,https://ahdb.org.uk/cereals-and-oilseeds/trade-dashboard,Agricultural and Horticulatural Develpoment Board (AHDB),,,,Visualisation / dashboard,Trade; Agriculture,,"The latest industry data, analysis and insights to inform your business in the Cereals and Oilseeds sector.",,,,,,,,,,UK,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data wildlife,,,,,,,,,,,3 TTI,
6 TTI,Beef Market Central,https://beefmarketcentral.com/fccp-app-download-landing-page-18586,Merck Animal Health,Drovers;Responsible Beef,,,Other - Statistics; Digital reports; Data portal,Trade; Beef,,Market information. App available.,,,,,,,,,,,,Beef,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data beef,,,,,,,,,,,6 TTI,
7 TTI,Beef and Lamb New Zealand,beeflambnz.com ,,,,,Other - Statistics,Trade,,"We provide accurate, independent information to help farmers, meat processors, consultants and other organisations with their planning. Below you’ll find data and tools you can use to make farming business decisions – from export statistics to economic reports to interactive tools.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data beef,,,,,,,,,,,7 TTI,
9 TTI,Malaysian Palm Oil Board,bepi.mpob.gov.my ,,,,,Other - Statistics,Trade; Palm oil; markets,,"Obtain regular economic data from producers, manufacturers/processors, dealers and other related parties in the oil palm industry.
•Collate, analyse and summarize the data into meaningful information to reflect the status and performance of the various sectors of the industry.
•Implement the registration of contract regulation and ensure the compliance of conditions imposed on the license regarding submission of Custom declaration forms
•Disseminate comprehensive, accurate and timely information on the domestic, exports and world oils and fats market situation to facilitate trade decision.
•Conduct research on the economics of production, downstream processing, marketing and new technologies in the palm oil industry in Malaysia and other producing countries.
•Provide inputs for the establishment of national palm oil development policy",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data palm oil,,,,,,,,,,,9 TTI,
10 TTI,InTrade Bid,https://www.intradebid.org/visualizaciones,,,,,Visualisation / dashboard,Trade,,This module brings together a variety of tools for visually exploring and analyzing the data available in INTrade. ,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,10 TTI,
11 TTI,"Shanghai NCB Consultation Co., Ltd ",https://www.ncbdata.com/import-export-database/,Shanghai NCB Consultation Co,,,SHANGHAI TEND INFORMATION AND TECHNOLOGIES CO.LTD (Tendata),Database,Trade,,"Find suppliers and Potential Target Customers By Global Trading Data. NCB is dedicated to developing safe, effective, reliable big data analysis platform. Our enormous trade intelligence database, integrates over 8,000,000 entries every month from 33 countries importing and exporting from the global and updates monthly, you can know the buyer's shipping data as like purchase price, purchase volume, cycle, supply chain and other detailed real records.
And intelligent trade analysis system, classifies billions of trade records by Search Engine and Data Analysis Technique to create various professional reports and charts according to all kinds of requirements.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Brazil,,,,,,,,,,,11 TTI,
12 TTI,Cameroon data portal,cameroon.opendataforafrica.org ,The African Development Bank,,,The African Development Bank,data portal; Visualisation / dashboard; Other - Statistics,Trade; Cameroon,,,,,,,,,,,,Cameroon,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,12 TTI,
13 TTI,Central African Republic data portal,car.opendataforafrica.org ,The African Development Bank,,,The African Development Bank,Data portal; Visualisation / dashboard; Other - Statistics,Trade; Central African Republic,,,,,,,,,,,,Central African Republic,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Central African Republic,,,,,,,,,,,13 TTI,
